Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,iSet,iDrift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38516.38892,3.836,-13.1,11.55,-19.5,7.65,142.7,,-0.85,160.1,0.086,161.5,,,,18.17,-1,,,,,,,,,,,,,,,,,,,,,39.399765,-0.298825,159.3,3.7
38516.38894,3.819,-13.3,11.23,-19.9,7.59,142.7,,-1.22,162.9,0.074,162.3,,,,18.04,-1.6,,,,,,,,,,,,,,,,,,,,,39.399765,-0.298825,159.4,3.8
38516.38895,3.767,-13.7,11.5,-20.3,7.96,142.9,,-1.3,162.9,0.074,162.7,,,,18.1,-2,,,,,,,,,,,,,,,,,,,,,39.399746,-0.298817,159.6,3.9
38516.38896,3.806,-13.8,11.3,-20.5,7.59,143.1,,-1.44,162.9,0.074,163.2,,,,18.1,-1.6,,,,,,,,,,,,,,,,,,,,,39.399731,-0.298811,160.2,3.9
38516.38897,3.822,-13.8,11.51,-20.5,7.88,143.8,,-1.52,162.9,0.074,163.4,,,,18.1,-2.8,,,,,,,,,,,,,,,,,,,,,39.399696,-0.298797,160.9,3.9
38516.38898,3.885,-13.7,11.76,-19.8,7.99,144.6,,-1.34,162.3,0.095,163.4,,,,18.13,-1.8,,,,,,,,,,,,,,,,,,,,,39.399696,-0.298797,162.3,3.9
38516.38899,3.877,-13.1,11.08,-19.9,7.34,145.1,,-1.65,162.3,0.095,164.4,,,,18.1,-2.9,,,,,,,,,,,,,,,,,,,,,39.399681,-0.298789,163,3.9
38516.38901,3.725,-13.9,11.27,-21.8,8.2,143.6,,-1.61,170.3,0.081,164.4,,,,18.35,-4.7,,,,,,,,,,,,,,,,,,,,,39.399658,-0.298786,163.7,3.9
38516.38902,3.769,-16.5,12.23,-23.8,8.63,142.2,,-1.22,170.3,0.081,164.3,,,,18.38,0,,,,,,,,,,,,,,,,,,,,,39.399624,-0.298772,164.9,3.9
38516.38903,3.821,-16.1,11.57,-24.5,7.59,142.1,,-2.66,170.3,0.081,165.6,,,,17.98,-0.8,,,,,,,,,,,,,,,,,,,,,39.399624,-0.298772,163.7,3.8
38516.38904,3.749,-17.2,11.32,-25.1,7.93,141.8,,-2.5,170.3,0.081,165.6,,,,18.29,-5.9,,,,,,,,,,,,,,,,,,,,,39.399609,-0.298772,165,3.7
38516.38905,3.781,-17.3,11.27,-25.8,7.71,141.5,,-1.87,191,0.091,164.8,,,,18.38,-3,,,,,,,,,,,,,,,,,,,,,39.399593,-0.298767,168.2,3.7
38516.38906,3.769,-16.7,11.22,-24.2,7.84,142.3,,-1.71,191,0.091,164.3,,,,18.2,-2.6,,,,,,,,,,,,,,,,,,,,,39.399559,-0.298753,168.6,3.5
38516.38908,3.792,-15.8,11.53,-23.5,7.9,143.5,,-2.21,185.3,0.11,164.6,,,,18.07,-1.3,,,,,,,,,,,,,,,,,,,,,39.399559,-0.298753,167.2,3.6
38516.38909,3.797,-15.6,11.11,-24,7.42,144.1,,-3.84,185.3,0.11,166.2,,,,18.07,-2.5,,,,,,,,,,,,,,,,,,,,,39.399544,-0.298747,164.5,3.7
38516.3891,3.766,-16.8,11.43,-24.5,8.07,143.2,,-3.03,194.3,0.103,165.6,,,,18.38,-5.8,,,,,,,,,,,,,,,,,,,,,39.399529,-0.298744,165.7,3.7
38516.38911,3.833,-15.9,11.58,-23.8,7.98,143.5,,-1.36,194.3,0.103,164.5,,,,18.38,-2,,,,,,,,,,,,,,,,,,,,,39.399509,-0.298744,168.9,3.7
38516.38912,3.917,-15.2,11.46,-23.1,7.78,144.1,,-1.79,198.4,0.105,163.9,,,,18.17,-2.2,,,,,,,,,,,,,,,,,,,,,39.39949,-0.298733,168.7,3.7
38516.38913,3.907,-14.2,11.64,-21.4,7.91,144.9,,-2.34,198.4,0.105,163.5,,,,18.13,-2.9,,,,,,,,,,,,,,,,,,,,,39.399475,-0.298728,167.9,3.8
38516.38915,3.995,-13.8,11.52,-20.5,7.59,144.9,,-1.57,202.4,0.107,163,,,,18.2,-2.8,,,,,,,,,,,,,,,,,,,,,39.39946,-0.298719,167.6,3.8
38516.38916,3.953,-12.8,12.04,-19.2,8.25,145,,-1.2,204.5,0.098,161.2,,,,18.23,-1.9,,,,,,,,,,,,,,,,,,,,,39.399426,-0.298703,168,3.8
38516.38917,4.028,-11.8,11.8,-17.4,7.62,146,,-1.45,204.5,0.098,161.6,,,,18.1,0.3,,,,,,,,,,,,,,,,,,,,,39.399406,-0.298694,164.7,3.9
