Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,Set,Drift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38249.73191,8.51,-59,13.5,-99.2,11.9,228,,2.1,133,0.43,326,,,,11.06,18.2,,,,,,,,,,,,12.44,,,,,,,,,37.826683,-122.38485,324.8,8.5
38249.73193,8.54,,,,,,,,,,,25.83,17,,,,,-4,,,,,,,,,,,,,,,,,,,37.826733,-122.384867,,
38249.73194,8.58,-57,,,,,,,130,0.43,325,,,,,17.5,,,,,,,,,,,,,,,,,,,,,37.82675,-122.384867,326.8,8.5
38249.73195,8.57,-57,13.1,-97.1,11.5,228,,2,,,324,,17,,10.85,,,-4,,,,,,,,,,12.44,,,,,,,,,,,,
38249.73196,8.54,-57,,,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,37.826833,-122.3849,,
38249.73197,8.58,,,,,,,,127,0.39,324,,,,,17.7,,,,,,,,,,,,,,,,,,,,,37.826883,-122.384933,325.8,8.4
38249.73198,8.59,-56,15.1,-94,11.6,230,,2,,,,16.06,17,,10.91,,,-6,,,,,,,,,,,,,,,,,,,37.8269,-122.384933,,
38249.732,8.6,-55,,,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,37.82695,-122.384967,,
38249.73201,8.69,-57,15.1,-93,12.1,,,,125,0.41,319,,,,11.03,18.5,,,,,,,,,,,,12.44,,,,,,,,,37.826967,-122.384967,324.8,8.4
38249.73202,8.64,-57,,,,,,2.1,,,320,,17,934,,,,-8,,,,,,,,,,,,,,,,,,,37.82705,-122.385017,,
38249.73203,8.71,-58,15.4,,12.4,,,,124,0.42,320,,,,11.09,18.9,,,,,,,,,,,,12.43,,,,,,,,,37.82705,-122.385017,323.8,8.4
38249.73204,8.72,,,-95.1,,227,,2.1,,,,49.83,17,920,,,,-9,,,,,,,,,,,,,,,,,,,37.827117,-122.385067,,
38249.73205,8.77,-60,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,37.827117,-122.385067,,
38249.73207,8.75,-60,14.9,-98.1,12.6,226,,2.1,121,0.43,319,,17,,10.82,19.6,,,,,,,,,,,,12.43,,,,,,,,,,,320.8,8.5
38249.73208,8.73,-60,,,,,,,,,319,40.17,,976,,,,-9,,,,,,,,,,,,,,,,,,,37.827233,-122.385133,,
38249.73209,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.82725,-122.385133,,
38249.7321,8.71,-60,14.7,-97.1,12.6,227,,2.2,127,0.41,322,11.22,17,1053,10.67,20,,-8,,,,,,,,,,12.41,,,,,,,,,,,320.8,8.5
38249.73211,8.7,-60,,,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,37.827333,-122.385183,,
38249.73212,8.7,-59,14.8,-93.2,12.6,230,,2.2,129,0.4,323,,17,,10.91,20,,,,,,,,,,,,12.41,,,,,,,,,37.827333,-122.385183,320.8,8.5
38249.73213,8.76,,,,,,,,,,,,,1004,,,,,,,,,,,,,,,,,,,,,,,37.827383,-122.3852,,
38249.73215,8.76,-59,,,,,,,132,0.39,323,,,,,20.2,,,,,,,,,,,,,,,,,,,,,37.8274,-122.385217,321.8,8.6
