Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,Set,Drift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38249.70139,0.67,-62,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,37.806633,-122.445967,,
38249.7014,0.92,-63,11.4,-159.9,11.5,249,,25.9,229,51.81,318,,16,,1.8,1.1,,-7,,,,,,,,,,12.75,,,,,,,,,37.806633,-122.445967,145.8,0
38249.70141,1.07,-64,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,37.806633,-122.445967,,
38249.70142,1.23,-65,11.6,-100.9,11.4,247,,5,229,49.9,319,,16,,1.92,1.1,,,,,,,,,,,,12.89,,,,,,,,,37.806633,-122.44595,145.8,0
38249.70144,1.56,-66,,,,,,,,,320,,,977,,,,-8,,,,,,,,,,,,,,,,,,,37.806617,-122.44595,,
38249.70145,1.62,-66,11.2,,11.2,,,,229,48.1,320,,,,1.98,1.1,,,,,,,,,,,,13,,,,,,,,,37.806617,-122.44595,145.8,0.9
38249.70146,1.66,,,-81,,246,,3.5,,,,,16,1070,,,,-16,,,,,,,,,,,,,,,,,,,37.8066,-122.445933,,
38249.70147,1.74,-66,,,,,,,229,46.35,319,,,,2.04,1,,,,,,,,,,,,13.09,,,,,,,,,37.8066,-122.445933,145.8,1
38249.70148,,-66,,-79.5,,246,,3,,,,,16,996,,,,-11,,,,,,,,,,,,,,,,,,,,,,
38249.70149,1.75,-67,,,,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,37.806583,-122.445917,,
38249.70151,1.76,-66,11.5,-78,11,245,,2.7,228,44.65,318,,16,1084,2.1,1,,-7,,,,,,,,,,13.17,,,,,,,,,,,,1.3
38249.70152,1.87,-66,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,37.806567,-122.445917,,
38249.70153,1.88,-67,11.2,-77.7,11,245,,2.3,228,42.99,317,,16,,2.13,1,,4,,,,,,,,,,13.24,,,,,,,,,37.806567,-122.4459,131.8,1.4
38249.70154,1.98,-68,,,,,,,,,318,,,1032,,,,,,,,,,,,,,,,,,,,,,,37.806567,-122.4459,,
38249.70155,2.03,,10.7,,10.6,,,,228,41.39,319,,,,2.13,1,,,,,,,,,,,,13.29,,,,,,,,,37.80655,-122.4459,133.8,1.6
38249.70156,1.99,-68,,-82.3,,241,,2.1,,,,42.17,16,1094,,,,3,,,,,,,,,,,,,,,,,,,37.806533,-122.4459,,
38249.70157,1.96,-71,,,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,37.806533,-122.4459,,
38249.70159,1.94,-74,10.4,-85.1,10.5,241,,2,228,39.42,325,19.78,16,1038,2.04,0.9,,5,,,,,,,,,,13.37,,,,,,,,,,,138.8,1.7
38249.7016,1.72,-75,,,,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,37.806517,-122.4459,,
38249.70161,1.55,-79,10.3,-89,10.4,242,,3,228,38.42,329,4.83,16,991,2.04,1,,16,,,,,,,,,,13.4,,,,,,,,,,,,
38249.70162,1.38,-82,,,,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,37.8065,-122.4459,148.8,1.9
38249.70163,1.34,-83,10.5,-92,10.4,244,,4.9,228,37.17,337,46.83,16,1080,2.04,1.1,,6,,,,,,,,,,13.41,,,,,,,,,37.8065,-122.4459,,
38249.70164,1.29,-88,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,37.806483,-122.4459,,
38249.70166,1.2,-90,10.9,-96.9,10.6,246,,6.8,228,35.86,345,,16,,2.07,1.1,,6,,,,,,,,,,13.39,,,,,,,,,37.806483,-122.4459,155.8,2
38249.70167,1.1,-93,,,,,,,,,349,,,1028,,,,,,,,,,,,,,,,,,,,,,,37.806467,-122.4459,,
38249.70168,1.06,,10.9,,10.6,,,,227,34.53,350,,,,1.98,1.2,,,,,,,,,,,,13.35,,,,,,,,,37.806467,-122.4459,160.8,2
38249.70169,0.87,-96,,-102.8,,248,,6.8,,,355,1.61,16,964,,,,7,,,,,,,,,,,,,,,,,,,37.80645,-122.445917,,
38249.7017,0.76,,10.8,,10.7,,,,227,33.32,358,,,,2.01,1.2,,,,,,,,,,,,13.33,,,,,,,,,37.80645,-122.445917,165.8,2
38249.70171,0.64,-100,,-104.8,,250,,19.1,,,,45.39,16,932,,,,15,,,,,,,,,,,,,,,,,,,37.806433,-122.445933,,
38249.70173,0.56,-106,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,37.806433,-122.445933,178.8,
38249.70174,0.49,-108,10.9,-125.1,10.8,251,,29.3,227,31.87,6,21.94,16,,1.98,1.2,,13,,,,,,,,,,13.27,,,,,,,,,,,,1.9
38249.70175,0.41,-114,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,37.8064,-122.44595,,
38249.70176,0.39,-116,10.3,-144.3,10.5,,,,227,30.76,17,,,,1.95,1.2,,,,,,,,,,,,13.23,,,,,,,,,37.8064,-122.44595,186.8,1.9
38249.70177,0,,,,,253,,67,,,,,16,1026,,,,25,,,,,,,,,,,,,,,,,,,37.8064,-122.44595,,
38249.70178,0,-117,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,37.806383,-122.445967,193.8,1.8
38249.7018,0,-125,11.2,169,10.5,256,,89.9,,29.68,25,,16,1091,1.95,1.2,,30,,,,,,,,,,13.17,,,,,,,,,,,,
38249.70181,0,-125,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,37.806383,-122.445983,,
38249.70182,0,-131,11.5,146.1,10.5,256,,89.9,227,28.65,37,,16,,1.92,1.2,,24,,,,,,,,,,13.12,,,,,,,,,,,203.8,1.8
38249.70183,0,-137,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,37.806383,-122.446017,,
38249.70184,0,-139,11.2,,10.5,,,,227,27.66,46,,,,1.86,1.1,,,,,,,,,,,,13.09,,,,,,,,,37.806383,-122.446017,213.8,1.7
38249.70185,0,-146,,130.1,,258,,89.9,,,51,,16,1095,,,,18,,,,,,,,,,,,,,,,,,,37.806367,-122.446033,,
38249.70186,0,,11.1,,10.3,,,,227,26.7,54,,,,1.86,1,,,,,,,,,,,,13.16,,,,,,,,,37.806367,-122.446033,222.8,1.6
38249.70188,0,-152,,117.1,,258,,89.9,,,,49.44,16,1015,,,,23,,,,,,,,,,,,,,,,,,,,,,
38249.70189,0,-156,,,,,,,227,,59,,,,,,,,,,,,,,,,,,,,,,,,,,37.806367,-122.446033,232.8,1.3
38249.7019,0,-157,9.6,111.1,9.7,258,,89.9,,25.77,60,24.61,16,973,1.86,0.9,,42,,,,,,,,,,13.24,,,,,,,,,,,,
38249.70191,0,-161,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,37.806367,-122.44605,,
38249.70192,0,-163,9.2,111.1,9.7,258,,89.9,227,24.86,63,8.11,16,,1.86,0.8,,52,,,,,,,,,,13.3,,,,,,,,,37.806367,-122.44605,232.8,1.1
38249.70193,0,-164,,,,,,,,,68,,,938,,,,,,,,,,,,,,,,,,,,,,,37.806367,-122.44605,,
38249.70195,0,-164,8.6,,9,,,,227,23.97,68,,,,1.89,0.7,,,,,,,,,,,,13.35,,,,,,,,,37.80635,-122.446033,232.8,0
38249.70196,0,-166,,106.1,,260,,89.9,,,67,-6.61,16,,,,,49,,,,,,,,,,,,,,,,,,,37.80635,-122.446033,,
38249.70197,0,,8.2,,8.4,,,,227,23.09,66,,,,1.89,0.6,,,,,,,,,,,,13.39,,,,,,,,,37.80635,-122.446033,232.8,0
38249.70198,0,-166,,107.1,,261,,89.9,,,,,16,,,,,38,,,,,,,,,,,,,,,,,,,,,,
38249.70199,0.01,-162,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,37.806333,-122.446017,232.8,0
38249.702,0.07,-159,7.9,111.1,8.1,261,,89.9,227,22.24,63,,16,,1.83,0.5,,27,,,,,,,,,,13.43,,,,,,,,,,,,
38249.70202,0.29,-159,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,37.806333,-122.446,,
38249.70203,0.32,-152,7.5,116.1,7.9,262,,60.6,227,21.42,56,,16,,1.86,0.6,,18,,,,,,,,,,13.47,,,,,,,,,,,232.8,0
38249.70204,0.51,-152,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,37.806333,-122.445967,,
38249.70205,0.68,,7.5,,8,,,,227,20.69,50,,,,1.86,0.7,,,,,,,,,,,,13.5,,,,,,,,,37.806333,-122.445967,232.8,0
38249.70206,0.75,-136,,155.4,,265,,17,,,47,,16,,,,,8,,,,,,,,,,,,,,,,,,,37.80635,-122.445933,,
38249.70207,1,,,,,,,,227,20.01,46,,,,1.89,0.8,,,,,,,,,,,,13.53,,,,,,,,,37.80635,-122.445933,232.8,1.2
38249.70208,1.09,-132,7.7,-155,8.1,267,,6.1,,,,29.06,16,,,,,4,,,,,,,,,,,,,,,,,,,37.80635,-122.4459,,
38249.7021,1.34,-130,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,37.80635,-122.4459,60.8,1.8
38249.70211,1.38,-129,8.1,-141.1,8.2,268,,3.3,227,19.3,44,11.06,16,,1.95,0.7,,-3,,,,,,,,,,13.54,,,,,,,,,,,,
38249.70212,1.77,-125,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,37.80635,-122.445883,,
38249.70213,1.86,-125,7.4,-138.3,8.3,268,,1.3,227,18.62,44,-1.94,16,,1.98,0.6,,-5,,,,,,,,,,13.55,,,,,,,,,37.806367,-122.44585,52.8,2.1
38249.70214,2.07,-123,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,37.806367,-122.44585,,
38249.70215,2.15,,7,,8.3,,,,227,17.95,45,,,,2.04,0.4,,,,,,,,,,,,13.58,,,,,,,,,37.806383,-122.445817,48.8,2.4
38249.70217,2.36,-125,,-137.3,,268,,0.7,,,47,,16,,,,,,,,,,,,,,,,,,,,,,,,37.806383,-122.4458,,
38249.70218,2.48,-126,7,-139.7,8.4,,,,227,17.3,48,,,,2.04,0.3,,,,,,,,,,,,13.57,,,,,,,,,37.8064,-122.445783,45.8,2.7
38249.70219,2.69,,,,,268,,0.4,,,49,,16,,,,,-7,,,,,,,,,,,,,,,,,,,37.8064,-122.445767,,
38249.7022,2.87,-124,7.4,,8.6,,,,227,16.7,50,,,,2.04,0.2,,,,,,,,,,,,13.58,,,,,,,,,37.8064,-122.445733,44.8,2.9
38249.70221,2.96,,,-139.4,,269,,0.2,,,,24.44,16,,,,,-7,,,,,,,,,,,,,,,,,,,37.806417,-122.445733,,
38249.70222,3.11,-124,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,37.806417,-122.445683,,
38249.70224,3.15,-126,6.9,-143.2,8.6,269,,0,227,16.1,52,,16,,2.01,0.1,,-7,,,,,,,,,,13.59,,,,,,,,,,,45.8,3.2
38249.70225,3.26,-126,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,37.806433,-122.445633,,
38249.70226,3.38,,6.6,,8.6,,,,227,15.53,56,,,,2.01,0.1,,,,,,,,,,,,13.59,,,,,,,,,37.806433,-122.445633,46.8,3.4
38249.70227,3.61,-132,,-146,,269,,0,,,58,,16,,,,,-7,,,,,,,,,,,,,,,,,,,37.80645,-122.445583,,
38249.70228,3.78,,,,,,,,227,14.99,59,,,,1.98,0,,,,,,,,,,,,13.59,,,,,,,,,37.80645,-122.445583,48.8,3.6
38249.70229,3.86,-138,7,-155,9.1,266,,0,,,,,16,,,,,-6,,,,,,,,,,,,,,,,,,,,,,
38249.70231,3.88,-144,,,,,,,227,14.45,62,,,,,0,,,,,,,,,,,,,,,,,,,,,37.80645,-122.445533,52.8,4
38249.70232,3.92,-145,6.5,-159,9.2,265,,0,,,,,16,,1.95,,,,,,,,,,,,,13.59,,,,,,,,,,,,
38249.70233,3.96,-148,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,37.806467,-122.445483,,
38249.70234,4.06,-143,6.6,-159,9.2,,,,228,13.74,65,,,,1.98,-0.3,,,,,,,,,,,,13.6,,,,,,,,,37.806467,-122.44545,54.8,4.1
38249.70235,4.11,,,,,265,,0.1,,,,,16,,,,,-5,,,,,,,,,,,,,,,,,,,37.806467,-122.445433,,
38249.70236,4.11,-142,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,37.806483,-122.445367,,
38249.70237,4.11,-139,7.5,-154.1,9.3,269,,0.1,228,13.23,67,,16,,1.98,-0.4,,-2,,,,,,,,,,13.57,,,,,,,,,,,56.8,4.2
38249.70239,4.14,-137,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,37.806483,-122.445317,,
38249.7024,4.11,-137,7.7,-150.1,9.6,273,,,228,12.73,68,,,,1.95,-0.4,,,,,,,,,,,,13.5,,,,,,,,,37.806483,-122.445317,59.8,4.3
38249.70241,4.04,-137,,,,,,0.2,,,69,,16,,,,,-4,,,,,,,,,,,,,,,,,,,37.806483,-122.445267,,
38249.70242,4,,8,,,,,,228,12.25,69,,,,1.89,-0.4,,,,,,,,,,,,13.43,,,,,,,,,37.806483,-122.445267,61.8,4.3
38249.70243,3.96,-138,,-151.2,9.7,275,,0.2,,,,36.72,16,,,,,-3,,,,,,,,,,,,,,,,,,,37.806483,-122.445217,,
38249.70244,3.89,-142,,,,,,,228,11.77,69,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,37.806483,-122.445217,63.8,4.2
38249.70246,3.84,-147,6.7,-151.2,9.7,275,,0.2,,,69,14.5,16,,1.89,,,-1,,,,,,,,,,13.37,,,,,,,,,,,,
38249.70247,3.78,-148,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,37.806483,-122.445183,,
38249.70248,3.75,-148,6.7,-157.2,9.4,272,,0.2,228,11.31,69,7.89,16,,1.86,-0.4,,-2,,,,,,,,,,13.32,,,,,,,,,37.806483,-122.44515,65.8,4.1
38249.70249,3.68,-146,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,37.806483,-122.445133,,
38249.7025,3.63,-146,6.3,-158.2,9.1,272,,0.2,228,10.87,68,,16,,1.83,-0.4,,,,,,,,,,,,13.26,,,,,,,,,37.806483,-122.4451,65.8,4
38249.70251,3.5,-147,,,,,,,,,68,45.11,,,,,,-1,,,,,,,,,,,,,,,,,,,37.806483,-122.445067,,
38249.70253,3.44,,5.7,,8.7,,,,228,10.43,67,,,,1.8,-0.3,,,,,,,,,,,,13.2,,,,,,,,,37.806483,-122.445067,66.8,3.9
38249.70254,,-151,,-160.2,,269,,0.2,,,,,16,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
38249.70255,3.29,-153,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,37.806483,-122.445,,
38249.70256,3.24,-156,5.9,-163.2,8.5,267,,0.2,228,9.89,66,,16,,1.77,-0.3,,-1,,,,,,,,,,13.15,,,,,,,,,,,67.8,3.8
38249.70257,3.16,-156,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,37.8065,-122.444967,,
38249.70258,3.09,-156,6.7,-164.2,8.5,265,,0.1,228,9.48,64,,16,,1.8,-0.2,,,,,,,,,,,,13.11,,,,,,,,,37.8065,-122.444967,66.8,3.7
38249.70259,3.01,,,,,,,,,,,27.33,,,,,,0,,,,,,,,,,,,,,,,,,,37.8065,-122.444933,,
38249.70261,2.98,-157,,,,,,,228,,63,,,,,,,,,,,,,,,,,,,,,,,,,,37.8065,-122.444933,66.8,3.5
38249.70262,2.94,-156,6.1,-164.1,8.2,262,,0.1,,,62,9.89,16,,1.8,-0.2,,1,,,,,,,,,,13.09,,,,,,,,,,,,
38249.70263,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8065,-122.444883,,
38249.70264,2.82,-155,,,,,,,227,8.68,61,,,,1.77,-0.1,,,,,,,,,,,,13.15,,,,,,,,,37.8065,-122.44485,65.8,3.5
38249.70265,2.82,-159,5.3,-167.1,7.8,258,,0.1,,,,-5.61,16,909,,,,0,,,,,,,,,,,,,,,,,,,37.8065,-122.44485,,
38249.70266,2.75,-162,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,37.8065,-122.444833,,
38249.70268,2.74,-167,4.7,-168.1,7.4,255,,0.1,227,8.33,58,-9.5,16,,1.77,-0.1,,1,,,,,,,,,,13.25,,,,,,,,,,,64.8,3.4
38249.70269,2.71,-167,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,37.806517,-122.444783,,
38249.7027,2.66,-155,4.1,-165.1,7,255,,0.1,227,7.99,56,,16,,1.77,-0.1,,,,,,,,,,,,13.3,,,,,,,,,37.806517,-122.444783,63.8,3.4
38249.70271,2.63,-154,,,,,,,,,55,,,,,,,1,,,,,,,,,,,,,,,,,,,37.806517,-122.444733,,
38249.70272,2.64,,4,,6.7,,,,227,7.67,54,,,,1.8,-0.1,,,,,,,,,,,,13.34,,,,,,,,,37.806517,-122.444733,62.8,3.3
38249.70273,2.65,-153,,-165.1,,253,,0.1,,,,41.94,16,,,,,1,,,,,,,,,,,,,,,,,,,37.806533,-122.4447,,
38249.70275,2.68,-155,,,,,,,227,7.37,52,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,37.806533,-122.4447,59.8,3.3
38249.70276,,-156,4.8,-167.1,6.5,251,,0.2,,,,28.56,16,,1.83,,,1,,,,,,,,,,,,,,,,,,,,,,
38249.70277,2.7,-154,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,37.80655,-122.444633,,
38249.70278,2.69,-148,5,-162.2,6.6,252,,0.1,227,7.08,50,,16,,1.83,-0.2,,2,,,,,,,,,,13.41,,,,,,,,,,,58.8,3.4
38249.70279,2.76,-146,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,37.80655,-122.444617,,
38249.7028,2.8,-143,5.2,-157.1,6.7,252,,0,227,6.81,47,,,,1.83,0,,,,,,,,,,,,13.45,,,,,,,,,37.806567,-122.4446,56.8,3.4
38249.70282,2.86,-143,,,,,,,,,47,,,,,,,7,,,,,,,,,,,,,,,,,,,37.806567,-122.44455,,
38249.70283,2.88,-139,5.2,,6.8,,,,226,6.55,43,,,,1.86,0.2,,,,,,,,,,,,13.48,,,,,,,,,37.806567,-122.44455,55.8,3.5
38249.70284,2.95,,,-154,,251,,0.3,,,,27.67,16,,,,,8,,,,,,,,,,,,,,,,,,,37.806583,-122.444517,,
38249.70285,2.97,-127,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,37.8066,-122.4445,,
38249.70286,2.98,-114,5.1,-138.3,6.6,255,,0.4,226,6.21,34,,16,,1.8,0.5,,8,,,,,,,,,,13.5,,,,,,,,,,,54.8,3.6
38249.70287,3.04,-104,,,,,,,,,31,,,966,,,,,,,,,,,,,,,,,,,,,,,37.806617,-122.444467,,
38249.70288,3.06,-103,6,-128.4,6.5,258,,0.6,225,5.95,27,,16,,1.8,0.7,,,,,,,,,,,,13.52,,,,,,,,,37.806617,-122.444467,51.8,3.7
38249.7029,3.09,,,,,,,,,,,21.44,,932,,,,,,,,,,,,,,,,,,,,,,,37.806633,-122.444433,,
38249.70291,3.15,-103,,,,,,,224,5.7,21,,,,,0.7,,,,,,,,,,,,,,,,,,,,,37.806633,-122.444433,42.8,3.7
38249.70292,3.16,-102,7.8,-123.6,7,258,,0.6,,,,4.72,16,904,1.86,,,3,,,,,,,,,,,,,,,,,,,37.806667,-122.4444,,
38249.70293,3.19,-102,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,37.806667,-122.4444,,
38249.70294,3.21,-100,8.4,-120.6,7.7,258,,0.5,224,5.46,17,-5.22,16,,1.89,0.7,,1,,,,,,,,,,13.54,,,,,,,,,,,37.8,3.7
38249.70295,3.22,-99,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,37.806717,-122.44435,,
38249.70297,3.24,-101,9.5,-121.5,8.5,257,,0.6,224,5.23,15,,16,,1.92,0.8,,,,,,,,,,,,13.55,,,,,,,,,,,32.8,3.7
38249.70298,3.19,-102,,,,,,,,,14,,,,,,,-2,,,,,,,,,,,,,,,,,,,37.80675,-122.444333,,
38249.70299,3.18,,8.8,,8.7,,,,223,5.01,14,,,,1.98,0.5,,,,,,,,,,,,13.56,,,,,,,,,37.80675,-122.444333,27.8,3.7
38249.703,,-106,,-125.6,,254,,0.4,,,,,16,,,,,-5,,,,,,,,,,,,,,,,,,,,,,
38249.70301,3.14,-112,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,37.806783,-122.4443,,
38249.70302,3.15,-113,9.3,-128.4,9.3,251,,0.3,223,4.72,15,,16,,1.98,0.4,,-6,,,,,,,,,,13.57,,,,,,,,,37.806783,-122.4443,23.8,3.7
38249.70304,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.806817,-122.444283,,
38249.70305,3.19,-113,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,37.806833,-122.444267,,
38249.70306,3.21,-115,9.7,-129.3,9.9,250,,0,223,4.53,17,,16,,2.04,0,,-8,,,,,,,,,,13.57,,,,,,,,,,,,3.7
38249.70307,3.31,-116,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,37.80685,-122.444267,,
38249.70308,3.35,,9.1,,,,,,223,4.33,21,,,,2.07,0,,,,,,,,,,,,13.57,,,,,,,,,37.806883,-122.44425,15.8,3.7
38249.70309,,-115,,-130,10.1,251,,0,,,,,16,,,,,-7,,,,,,,,,,,,,,,,,,,,,,
38249.7031,3.48,-113,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,37.806917,-122.444217,,
38249.70312,3.48,,,,,,,,224,4.13,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,37.806917,-122.444217,15.8,3.8
38249.70313,3.5,-113,7.5,-133,9.7,252,,0.2,,,27,,16,,2.1,,,-9,,,,,,,,,,13.57,,,,,,,,,,,,
38249.70314,3.51,-115,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,37.806967,-122.444183,,
38249.70315,3.51,-115,7,-134.2,9.6,252,,0.4,224,3.98,29,,16,,2.07,-0.6,,-10,,,,,,,,,,13.57,,,,,,,,,,,,3.8
38249.70316,3.53,-122,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,37.806967,-122.444167,,
38249.70317,3.53,,,,,,,,226,3.79,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,,37.806983,-122.444133,18.8,3.8
38249.70319,3.52,-130,6.4,-148.4,9.1,251,,0.4,,,,,16,921,2.04,,,-10,,,,,,,,,,13.58,,,,,,,,,37.807017,-122.444117,,
38249.7032,3.54,-138,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,37.807017,-122.4441,,
38249.70321,3.56,-141,5.8,-148.4,9.1,251,,0.6,226,3.66,45,,16,1001,2.01,-0.9,,-7,,,,,,,,,,13.58,,,,,,,,,,,21.8,3.8
38249.70322,3.57,-149,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,37.807033,-122.444067,,
38249.70323,3.57,-149,5.2,-160.6,8.5,248,,0.6,227,3.54,48,,16,,1.98,-0.9,,-6,,,,,,,,,,13.57,,,,,,,,,,,25.8,3.8
38249.70324,3.58,-150,,,,,,,,,50,46.94,,961,,,,,,,,,,,,,,,,,,,,,,,37.80705,-122.444017,,
38249.70326,3.6,-155,4.5,,8.2,,,,228,3.42,51,,,,1.98,-0.9,,,,,,,,,,,,13.58,,,,,,,,,37.80705,-122.444017,32.8,3.8
38249.70327,3.62,-161,,-167.6,,246,,0.5,,,54,22.94,16,928,,,,-7,,,,,,,,,,,,,,,,,,,37.807067,-122.443967,,
38249.70328,3.62,,,,,,,,229,3.29,54,,,,1.98,-1.1,,,,,,,,,,,,13.57,,,,,,,,,37.807067,-122.443967,36.8,3.9
38249.70329,3.63,-162,4.3,-170.5,7.7,245,,0.6,,,,48.56,16,1016,,,,-7,,,,,,,,,,,,,,,,,,,,,,
38249.7033,3.65,-166,,,,,,,230,,56,,,,,,,,,,,,,,,,,,,,,,,,,,37.807083,-122.4439,44.8,3.9
38249.70331,3.66,-175,5.7,-175.6,7.8,244,,0.6,,3.16,58,,16,,2.01,-1.1,,-4,,,,,,,,,,13.57,,,,,,,,,,,,
38249.70333,3.67,-175,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,37.8071,-122.443883,,
38249.70334,3.65,,,,,,,,231,2.99,59,,,,2.04,-1,,,,,,,,,,,,13.58,,,,,,,,,37.8071,-122.44385,48.8,3.9
38249.70335,3.63,-173,5.9,-177.6,8,243,,0.6,,,,1.17,16,923,,,,-2,,,,,,,,,,,,,,,,,,,37.8071,-122.443833,,
38249.70336,3.59,-173,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,37.807117,-122.4438,,
38249.70337,3.53,,,,,,,,231,2.82,59,,,,2.04,-1,,,,,,,,,,,,13.52,,,,,,,,,37.807117,-122.4438,51.8,3.9
38249.70338,,-168,5.5,-169.6,7.9,247,,0.6,,,,-7.56,16,,,,,-2,,,,,,,,,,,,,,,,,,,,,,
38249.70339,3.47,-162,,,,,,,231,,59,,,,,,,,,,,,,,,,,,,,,,,,,,37.807133,-122.443717,54.8,3.9
38249.70341,3.46,-156,5.2,-169.6,7.9,247,,0.7,,2.71,59,,16,,2.01,-1,,-2,,,,,,,,,,13.51,,,,,,,,,,,,
38249.70342,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.807133,-122.4437,,
38249.70343,3.44,-158,,,,,,,232,2.56,59,,,,,-1,,,,,,,,,,,,,,,,,,,,,37.80715,-122.443667,55.8,3.9
38249.70344,3.46,-161,5.4,-172.7,7.8,248,,0.7,,,59,32.11,16,,2.04,,,-2,,,,,,,,,,13.52,,,,,,,,,37.80715,-122.443667,,
38249.70345,3.48,-168,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,37.80715,-122.443633,,
38249.70346,3.48,-172,7.6,-176.7,8.3,245,,0.7,232,2.46,59,,16,,2.01,-1,,,,,,,,,,,,13.53,,,,,,,,,37.80715,-122.443617,56.8,3.9
38249.70348,3.49,-173,,,,,,,,,59,0.39,,,,,,,,,,,,,,,,,,,,,,,,,37.807167,-122.443567,,
38249.70349,3.52,,9.7,,9.2,,,,232,2.34,60,,,,2.04,-1.2,,,,,,,,,,,,13.54,,,,,,,,,37.807167,-122.443567,56.8,4
38249.7035,3.57,-179,,179.3,,243,,0.8,,,61,48.11,16,,,,,-4,,,,,,,,,,,,,,,,,,,37.807167,-122.443517,,
38249.70351,3.61,,,,,,,,232,2.25,61,,,,2.01,-1.4,,,,,,,,,,,,13.54,,,,,,,,,37.807167,-122.443517,56.8,4
38249.70352,3.67,178,7.9,178.8,9.7,242,,0.8,,,,,16,925,,,,-4,,,,,,,,,,,,,,,,,,,37.807183,-122.443467,,
38249.70353,3.73,177,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,37.807183,-122.443433,,
38249.70355,3.73,177,7.5,178.8,9.7,242,,0.9,233,2.12,63,,16,,1.98,-1.5,,-3,,,,,,,,,,13.55,,,,,,,,,,,58.8,4.2
38249.70356,3.74,-179,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,37.8072,-122.443417,,
