Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,Set,Drift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38419.78359,7.76,31,30.6,40.4,24.28,213.4,,2,0,0,175.2,76,64.5,30.09,,72.6,,,,,,,,,,,,,,,,,,,,,50.7577,-1.363918
38419.78365,7.882,30,31.08,39.8,24.58,212.8,,2,0,0,175.2,76,64.5,30.09,,74.4,,,,,,,,,,,,,,,,,,,,,50.757534,-1.36387
38419.78371,7.746,33.8,31.18,43.4,25.1,212.6,,2,0,0,171.2,76,64.5,30.09,,77,,,,,,,,,,,,,,,,,,,,,50.757356,-1.363812
38419.78376,7.756,32.8,30.64,42.8,24.5,211.6,,2,0,0,170.8,76,64.5,30.09,,73.4,,,,,,,,,,,,,,,,,,,,,50.757192,-1.363744
38419.78382,7.962,30.2,30,39.8,23.44,209.2,,2,0,0,171.4,76,64.5,30.09,,68.2,,,,,,,,,,,,,,,,,,,,,50.757024,-1.363674
38419.78388,7.562,30.4,28.72,40.2,22.54,206.6,,2,0,0,168.6,76,64.5,30.09,,62.6,,,,,,,,,,,,,,,,,,,,,50.756854,-1.363604
38419.78394,7.676,31.2,28.74,41.4,22.54,204.6,,2,0,0,165.2,76,64.5,30.09,,62,,,,,,,,,,,,,,,,,,,,,50.756692,-1.363518
38419.784,8.166,31.2,29.76,41.8,23.14,202.4,,2,0,0,162.8,76,64.5,30.09,,65.6,,,,,,,,,,,,,,,,,,,,,50.756532,-1.36342
38419.78405,8.218,32.8,29.96,43.6,23.5,202.2,,2,0,0,160.6,76,64.5,30.09,,67,,,,,,,,,,,,,,,,,,,,,50.756364,-1.363304
38419.78411,7.814,33.6,30.12,43.8,24.02,205.2,,2,0,0,163.2,76,64.5,30.09,,70.2,,,,,,,,,,,,,,,,,,,,,50.756202,-1.363176
38419.78417,7.42,33,29.84,42.6,23.96,207,,2,0,0,166.4,76,64.5,30.09,,70.4,,,,,,,,,,,,,,,,,,,,,50.756034,-1.363084
38419.78423,7.392,18.1,30,23.9,23.42,208.8,,2,0,0,186.2,76,64.5,30.09,,41.4,,,,,,,,,,,,,,,,,,,,,50.755904,-1.362986
38419.78429,7.502,-19,30.34,-25.4,23.4,209.8,,2,0,0,232.6,76,64.5,30.09,,-67.8,,,,,,,,,,,,,,,,,,,,,50.755756,-1.36295
38419.78434,7.18,-23.4,29.92,-30.8,23.54,212,,2,0,0,240.2,76,64.5,30.09,,-69,,,,,,,,,,,,,,,,,,,,,50.755646,-1.36316
38419.7844,7.422,-30,29.7,-39,23.58,214.4,,2,0,0,251.6,76,64.5,30.09,,-68.6,,,,,,,,,,,,,,,,,,,,,50.755568,-1.36345
38419.78446,7.692,10.7,31.32,13.9,24.24,215.6,,2,0,0,202.2,76,64.5,30.09,,17.2,,,,,,,,,,,,,,,,,,,,,50.755492,-1.363682
38419.78452,8.38,37.6,31.08,49.1,25.02,214,,2,0,0,166.9,76,64.5,30.09,,74.8,,,,,,,,,,,,,,,,,,,,,50.755352,-1.363758
