Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,Set,Drift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38053.04264,,-167,1.94,-172,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.5,1.18
38053.04265,1.2,,,,2.83,301.7,,,105.7,0.49,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.8,1.25
38053.04267,,,,,,,,,,,,,,,11.82,,,,,,,,,,,,,,,,,16,,,,,-36.738401,174.934901,,
38053.04268,1.26,-174,1.94,-176,3.36,303.2,,,107.2,0.47,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.9,1.24
38053.0427,,,,,3.09,303.5,,,,,120,,,,11.84,,,,,,,,,,,,,,,,,1,,,,,-36.738403,174.934904,,
38053.04272,,,,,,,,,,,,,,,11.82,,,,,,,,,,,,,,,,,16,,,,,-36.738418,174.934918,,
38053.04273,1.32,-174,2.33,-176,3.18,303.2,,,117.3,0.53,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.5,1.34
38053.04275,,,,,3.65,303.1,,,,,119,,,,11.92,,,,,,,,,,,,,,,,,1,,,,,-36.738437,174.934937,,
38053.04276,,-174,2.33,-176,3.65,,,,,,,,,,11.89,,,,,,,,,,,,,,,,,,,,,,,,138.1,1.43
38053.04278,1.27,-170,2.52,,3.57,302.8,,,126.4,0.58,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.7,1.39
38053.0428,,,,,3.9,303.1,,,,,117,,,,11.9,,,,,,,,,,,,,,,,,1,,,,,-36.738453,174.934953,,
38053.04281,,-169,2.52,-173,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.2,1.44
38053.04283,1.45,-165,2.33,,4.15,302.7,,,128.3,0.65,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.7,1.53
38053.04285,,,,,,,,,,,115,,,,11.89,,,,,,,,,,,,,,,,,1,,,,,-36.73847,174.934986,,
38053.04286,1.47,-159,2.52,-167,3.92,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.9,1.6
38053.04288,1.51,,,,4.02,305.9,,,117.4,0.73,114,,,,,,,,,,,,,,,,,,,,,16,,,,,-36.738489,174.935006,,
38053.04289,,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,1,,,,,-36.738502,174.935019,,
38053.04291,1.58,-160,1.94,-170,3.8,,,,114.7,0.66,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.8,1.66
38053.04293,,,,,3.69,303.5,,,113.3,0.63,113,,,,,,,,,,,,,,,,,,,,,16,,,,,-36.738521,174.935039,,
38053.04294,,-158,1.94,-168,3.61,,,,,,,,,,11.99,,,,,,,,,,,,,,,,,,,,,,-36.738517,174.935051,,
38053.04296,1.72,-159,2.33,-169,4.31,304.5,,,114.4,0.62,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.7,1.7
38053.04297,,,,,4.04,304.5,,,,,112,,,,12.11,,,,,,,,,,,,,,,,,16,,,,,-36.738537,174.935055,,
38053.04299,,-158,2.33,-168,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.6,1.78
38053.04301,1.82,,,,4.45,302.7,,,120.2,0.62,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.7,1.81
38053.04302,,,,,,,,,,,109,,,,11.99,,,,,,,,,,,,,,,,,16,,,,,-36.738569,174.935103,,
38053.04304,,-156,2.52,-167,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.8,1.79
38053.04306,1.86,,,,4.89,301.4,,,113.3,0.64,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.1,1.88
38053.04307,,,,,,,,,,,108,,,,12.04,,,,,,,,,,,,,,,,,16,,,,,-36.738585,174.935136,,
38053.04309,1.87,-154,2.91,-165,4.87,300.9,,,105.9,0.62,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.4,1.9
38053.0431,1.89,,,,4.39,301.2,,,98.9,0.63,107,,,,,,,,,,,,,,,,,,,,,1,,,,,-36.738605,174.935157,,
38053.04312,,,,,,,,,,,,,,,12.22,,,,,,,,,,,,,,,,,16,,,,,-36.738601,174.935169,,
38053.04313,1.91,-155,2.33,-166,4.23,301.8,,,95.9,0.61,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.9,1.94
38053.04315,,,,,4.31,302.2,,,,,109,,,,12.25,,,,,,,,,,,,,,,,,1,,,,,-36.73862,174.93519,,
38053.04317,,-155,1.94,-168,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.7,1.89
38053.04318,1.94,,,,4.49,302.7,,,98,0.46,110,,,,,,,,,,,,,,,,,,,,,16,,,,,,,127.7,1.89
38053.0432,,,,,,,,,,,111,,,,12.31,,,,,,,,,,,,,,,,,1,,,,,-36.738652,174.935237,,
38053.04321,1.95,-155,2.52,-166,4.25,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.7,1.89
38053.04323,1.94,,,,4.39,306.9,,,104.7,0.46,112,,,,,,,,,,,,,,,,,,,,,16,,,,,-36.738672,174.935258,,
38053.04324,,,,-165,4.33,,,,,,,,,,12.28,,,,,,,,,,,,,,,,,,,,,,-36.738667,174.935267,,
38053.04326,1.92,-154,2.33,-165,4.21,308,,,103.4,0.43,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.3,1.87
38053.04328,,,,,3.77,307.5,,,,,114,,,,12.33,,,,,,,,,,,,,,,,,16,,,,,-36.738687,174.935289,,
38053.04329,,-155,2.33,-166,4.19,,,,,,,,,,12.35,,,,,,,,,,,,,,,,,,,,,,,,130.2,1.9
38053.04331,1.88,-156,1.94,,3.84,307.6,,,110.5,0.47,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.4,1.91
38053.04333,,,,,,,,,,,116,,,,12.42,,,,,,,,,,,,,,,,,16,,,,,-36.73872,174.935321,,
38053.04334,1.9,-155,1.94,-168,3.77,,,,115.4,0.46,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.9,1.9
38053.04335,,,,,4.27,309.4,,,122.7,0.46,117,,,,12.47,,,,,,,,,,,,,,,,,1,,,,,-36.738738,174.93534,,
38053.04337,,,,-168,3.75,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,-36.738751,174.935351,,
38053.04339,1.89,-156,2.33,-167,4.17,308.9,,,128.8,0.48,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.3,1.91
38053.0434,,,,,,,,,,,117,,,,12.43,,,,,,,,,,,,,,,,,1,,,,,-36.73877,174.935371,,
38053.04342,1.89,-157,2.33,-167,4.21,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.9,1.94
38053.04343,1.87,,,,3.8,309.6,,,129.6,0.53,118,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
38053.04345,,,,-169,3.88,,,,,,,,,,12.42,,,,,,,,,,,,,,,,,,,,,,-36.738784,174.935418,,
38053.04347,1.86,-157,1.94,-168,3.92,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.6,1.96
38053.04348,,,,,3.94,309.7,,,127.2,0.49,118,,,,12.47,,,,,,,,,,,,,,,,,16,,,,,-36.738806,174.93544,,
38053.0435,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,1,,,,,-36.738819,174.935452,,
38053.04352,1.92,-156,1.94,-169,3.88,,,,126.4,0.44,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.3,1.9
38053.04353,1.92,,,,3.86,310.9,,,125,0.39,119,,,,,,,,,,,,,,,,,,,,,16,,,,,-36.738823,174.935473,,
38053.04355,,,,,,,,,,,,,,,12.55,,,,,,,,,,,,,,,,,1,,,,,-36.738835,174.935469,,
38053.04357,1.95,-158,1.94,-169,3.9,,,,127.4,0.39,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.1,1.85
38053.04358,1.99,,,,4.02,312.4,,,129.8,0.41,121,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
38053.0436,,,,,,,,,,,121,,,,12.55,,,,,,,,,,,,,,,,,1,,,,,-36.738869,174.935502,,
38053.04362,2.02,-156,1.94,-168,3.8,,,,137.2,0.39,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.9,1.89
38053.04363,2.04,,,,3.88,312.5,,,145.4,0.41,120,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
38053.04365,,,,,,,,,,,119,,,,12.61,,,,,,,,,,,,,,,,,1,,,,,-36.738902,174.935535,,
38053.04367,2.02,-155,2.33,-167,4.39,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.7,1.94
38053.04368,,,,,4.33,310.7,,,144,0.44,119,,,,12.58,,,,,,,,,,,,,,,,,16,,,,,-36.738923,174.935556,,
38053.0437,,-155,2.33,-167,4.39,,,,,,,,,,12.63,,,,,,,,,,,,,,,,,,,,,,-36.738934,174.935567,,
38053.04371,2.05,-155,2.52,-167,4.58,309.7,,,141,0.48,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.1,2.01
38053.04373,,,,,4.31,309.6,,,137.4,0.48,116,,,,12.71,,,,,,,,,,,,,,,,,16,,,,,-36.738956,174.935589,,
38053.04374,,-155,2.33,-168,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.2,2.04
38053.04376,2.13,,,,4.56,309.5,,,135.9,0.42,116,,,,,,,,,,,,,,,,,,,,,1,,,,,,,140.1,2.01
38053.04378,,,,,,,,,,,,,,,12.78,,,,,,,,,,,,,,,,,16,,,,,-36.738985,174.935618,,
38053.04379,2.14,-155,2.52,-167,4.74,,,,135.8,0.4,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.4,1.95
38053.04381,2.14,,,,4.39,309.8,,,132.9,0.34,117,,,,,,,,,,,,,,,,,,,,,1,,,,,-36.739007,174.935641,,
38053.04382,,,,-168,3.86,,,,,,,,,,12.84,,,,,,,,,,,,,,,,,,,,,,-36.739018,174.935651,,
38053.04384,2.13,-155,2.33,-167,4.41,309.5,,,131.1,0.32,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7,1.97
38053.04386,,,,,4.43,309.4,,,129.4,0.35,117,,,,12.81,,,,,,,,,,,,,,,,,1,,,,,-36.739038,174.935672,,
38053.04387,,-156,2.33,-167,4.62,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,138.5,2
38053.04389,2.1,,,,4.6,308.9,,,128.3,0.35,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.2,2
38053.0439,,,,,,,,,,,115,,,,12.89,,,,,,,,,,,,,,,,,1,,,,,-36.739053,174.935703,,
38053.04392,,-155,2.91,-166,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7,2.03
38053.04394,2.17,,,,5.09,307.6,,,134.9,0.41,113,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
38053.04395,,,,,,,,,,,,,,,13.07,,,,,,,,,,,,,,,,,1,,,,,-36.739085,174.935736,,
38053.04397,2.23,-155,2.91,-166,5.2,305.6,,,138.3,0.43,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.4,2.17
38053.04398,,,,,5.28,303.4,,,135.1,0.46,109,,,,,,,,,,,,,,,,,,,,,16,,,,,-36.739106,174.935757,,
38053.044,,,,-166,5.38,,,,,,,,,,13.19,,,,,,,,,,,,,,,,,,,,,,-36.739118,174.935768,,
38053.04401,2.32,-155,3.69,,5.83,302.8,,,120.4,0.43,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.2,2.18
38053.04403,,,,,,,,,,,108,,,,13.21,,,,,,,,,,,,,,,,,16,,,,,-36.739137,174.935805,,
38053.04405,,-155,3.11,-166,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.7,2.23
38053.04406,2.38,,,,5.92,305.1,,,87.8,0.45,110,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
38053.04408,,,,-165,5.48,,,,,,,,,,13.31,,,,,,,,,,,,,,,,,,,,,,-36.73915,174.935851,,
38053.04409,2.36,-155,3.49,,5.83,305.5,,,85.5,0.4,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.9,2.23
38053.04411,,,,,,,,,,,111,,,,13.49,,,,,,,,,,,,,,,,,1,,,,,-36.73917,174.935872,,
38053.04412,,-155,3.49,-166,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.1,2.23
38053.04414,2.39,-154,3.11,,5.79,307.5,,,100.3,0.37,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.6,2.26
38053.04415,,,,,,,,,,,,,,,13.62,,,,,,,,,,,,,,,,,1,,,,,-36.739219,174.935903,,
38053.04417,2.39,-155,3.49,-165,5.9,308.1,,,110.4,0.36,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.3,2.24
38053.04418,,,,,6.1,309.4,,,,,114,,,,13.59,,,,,,,,,,,,,,,,,16,,,,,-36.739239,174.93594,,
38053.0442,,,,-165,5.3,,,,,,,,,,13.66,,,,,,,,,,,,,,,,,1,,,,,-36.739252,174.935952,,
38053.04422,2.43,-155,3.49,-166,6,308.6,,,130.4,0.3,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.8,2.24
38053.04423,,,,,5.96,310.8,,,136.8,0.31,116,,,,13.68,,,,,,,,,,,,,,,,,16,,,,,-36.739272,174.935974,,
38053.04425,,-154,3.69,-165,6.18,,,,,,,,,,13.69,,,,,,,,,,,,,,,,,,,,,,,,136.6,2.26
38053.04427,2.51,-154,3.11,-166,5.55,311.3,,,138.6,0.29,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.9,2.27
38053.04428,,,,,6.14,311.8,,,,,117,,,,13.77,,,,,,,,,,,,,,,,,16,,,,,-36.739305,174.936006,,
38053.0443,,-155,3.49,-165,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.1,2.27
